Ticket Nr,Sub Nr,Log Type,Trade Date Time,Scale Nr,Void Type,Sales Type,PLU Nr,PLU Name,Weight,Weight Unit,Quantity,Unit Price,Total Price,Effective Price,Trade Date,Trade Time
444,1,Details,2020-09-10 15:12:03,126,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,15:12:03
443,1,Details,2020-09-10 14:32:51,126,Cancel,Refund,520,Chicharon-Bituka,0.0,PCS,1.0,-14.0,-14.0,-14.0,2020-09-10,14:32:51
443,2,Details,2020-09-10 14:32:55,126,Normal,Refund,520,Chicharon-Bituka,0.0,PCS,1.0,-14.0,-14.0,-14.0,2020-09-10,14:32:55
764,1,Details,2020-09-10 15:10:38,136,Normal,Normal,110,Pork giniling,0.494,kg,1.0,231.0,114.0,114.0,2020-09-10,15:10:38
764,2,Details,2020-09-10 15:10:50,136,Normal,Normal,100,PORK LAMAN,1.04,kg,1.0,209.0,217.25,217.25,2020-09-10,15:10:50
442,1,Details,2020-09-10 15:04:55,126,Normal,Refund,124,Porkchop-batok,0.996,kg,1.0,179.0,178.25,178.25,2020-09-10,15:04:55
442,2,Details,2020-09-10 15:06:05,126,Cancel,Refund,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,15:06:05
441,1,Details,2020-09-10 14:58:16,126,Normal,Refund,118,Bacon sliced/skinless liempo,2.146,kg,1.0,385.0,826.25,826.25,2020-09-10,14:58:16
763,1,Details,2020-09-10 14:48:29,136,Normal,Normal,264,beef buntot,0.986,kg,1.0,345.0,340.25,340.25,2020-09-10,14:48:29
440,1,Details,2020-09-10 14:28:28,126,Normal,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:28:28
1,1,Details,2020-09-10 14:21:39,133,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:21:39
1,2,Details,2020-09-10 14:21:56,133,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:21:56
1,3,Details,2020-09-10 14:22:08,133,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:22:08
1,4,Details,2020-09-10 14:23:22,133,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:23:22
439,1,Details,2020-09-10 14:15:10,126,Normal,Normal,300,chicken fresh,1.366,kg,1.0,159.0,217.25,217.25,2020-09-10,14:15:10
457,1,Details,2020-09-10 14:12:57,48,Normal,Normal,112,Pork liempo,1.544,kg,1.0,359.0,554.25,554.25,2020-09-10,14:12:57
457,2,Details,2020-09-10 14:15:26,48,Normal,Normal,112,Pork liempo,0.88,kg,1.0,359.0,316.0,316.0,2020-09-10,14:15:26
457,3,Details,2020-09-10 14:16:54,48,Normal,Normal,460,Cordon Bleu,0.722,kg,1.0,459.0,331.5,331.5,2020-09-10,14:16:54
456,1,Details,2020-09-10 14:15:27,48,Normal,Normal,180,Pork liver,0.202,kg,1.0,119.0,24.0,24.0,2020-09-10,14:15:27
456,2,Details,2020-09-10 14:16:06,48,Normal,Normal,400,Tocino,0.538,kg,1.0,369.0,198.5,198.5,2020-09-10,14:16:06
438,1,Details,2020-09-10 14:12:45,126,Normal,Normal,186,pork bopis,1.984,kg,1.0,169.0,335.25,335.25,2020-09-10,14:12:45
438,2,Details,2020-09-10 14:12:52,126,Normal,Normal,208,Angus beef-certified,0.966,kg,1.0,1789.0,1728.25,1728.25,2020-09-10,14:12:52
762,1,Details,2020-09-10 11:59:00,136,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,11:59:00
762,2,Details,2020-09-10 14:12:49,136,Normal,Normal,112,Pork liempo,1.004,kg,1.0,359.0,360.5,360.5,2020-09-10,14:12:49
762,3,Details,2020-09-10 14:13:07,136,Normal,Normal,100,PORK LAMAN,1.0,kg,1.0,209.0,209.0,209.0,2020-09-10,14:13:07
455,1,Details,2020-09-10 14:11:24,48,Normal,Normal,100,PORK LAMAN,0.558,kg,1.0,209.0,116.5,116.5,2020-09-10,14:11:24
455,2,Details,2020-09-10 14:12:45,48,Normal,Normal,180,Pork liver,0.156,kg,1.0,119.0,18.5,18.5,2020-09-10,14:12:45
